category,folder,filename,filepath,file_type,file_size_bytes,file_size_mb,work_number
Werke,Werke 1 bis 20,16 - Fahren wir froh... - Seiten 2 und 3.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/16 - Fahren wir froh... - Seiten 2 und 3.pdf,pdf,131858,0.13,16
Werke,Werke 1 bis 20,"14a - Hör, hör, hör....pdf","files/Werke - außer Psalmen/Werke 1 bis 20/14a - Hör, hör, hör....pdf",pdf,101866,0.1,14a
Werke,Werke 1 bis 20,9c - Der Rosengarten.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/9c - Der Rosengarten.pdf,pdf,86284,0.08,9c
Werke,Werke 1 bis 20,7 - Solo-Suite für Violine für Sabine Kötz - Seite 1.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/7 - Solo-Suite für Violine für Sabine Kötz - Seite 1.pdf,pdf,20060,0.02,7
Werke,Werke 1 bis 20,20 - Mit Schall von Zungen.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/20 - Mit Schall von Zungen.pdf,pdf,90579,0.09,20
Werke,Werke 1 bis 20,18 - Du Gott des Friedens.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/18 - Du Gott des Friedens.pdf,pdf,53719,0.05,18
Werke,Werke 1 bis 20,15 - O Lebensbrünnleit....pdf,files/Werke - außer Psalmen/Werke 1 bis 20/15 - O Lebensbrünnleit....pdf,pdf,78188,0.07,15
Werke,Werke 1 bis 20,"17 - Horch, wie die Schar.pdf","files/Werke - außer Psalmen/Werke 1 bis 20/17 - Horch, wie die Schar.pdf",pdf,98454,0.09,17
Werke,Werke 1 bis 20,19 - Kommt alle bei Nacht.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/19 - Kommt alle bei Nacht.pdf,pdf,81060,0.08,19
Werke,Werke 1 bis 20,11 - EG 11 - Wie soll ich dich....pdf,files/Werke - außer Psalmen/Werke 1 bis 20/11 - EG 11 - Wie soll ich dich....pdf,pdf,62623,0.06,11
Werke,Werke 1 bis 20,13 - Es lagen im Felde....pdf,files/Werke - außer Psalmen/Werke 1 bis 20/13 - Es lagen im Felde....pdf,pdf,90030,0.09,13
Werke,Werke 1 bis 20,12i - Rosen im Haag.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/12i - Rosen im Haag.pdf,pdf,4727155,4.51,12i
Werke,Werke 1 bis 20,"7 - Solo-Suite für Violine für Sabine Kötz - Seiten 2, 3 und 4.pdf","files/Werke - außer Psalmen/Werke 1 bis 20/7 - Solo-Suite für Violine für Sabine Kötz - Seiten 2, 3 und 4.pdf",pdf,194066,0.19,7
Werke,Werke 1 bis 20,5 - Die sieben flotten Lieselotten - Seiten 2 und.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/5 - Die sieben flotten Lieselotten - Seiten 2 und.pdf,pdf,122737,0.12,5
Werke,Werke 1 bis 20,12d - Gänseblümchen.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/12d - Gänseblümchen.pdf,pdf,113455,0.11,12d
Werke,Werke 1 bis 20,12e - Rosen im Haag.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/12e - Rosen im Haag.pdf,pdf,192523,0.18,12e
Werke,Werke 1 bis 20,12f - Psalm 130 für Annegret Krause.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/12f - Psalm 130 für Annegret Krause.pdf,pdf,80082,0.08,12f
Werke,Werke 1 bis 20,5 - Die sieben flotten Lieselotten - Seite 1.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/5 - Die sieben flotten Lieselotten - Seite 1.pdf,pdf,33601,0.03,5
Werke,Werke 1 bis 20,12f - Rosen im Haag.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/12f - Rosen im Haag.pdf,pdf,108354,0.1,12f
