Das kompositorische Werk Emanuel Vogts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
ID,Datum,Titel,Genre/Dokument,Besetzung,"Original, Kopie",Bemerkung
1,1970,Sonate für Blockflöte und Gitarre,Sonate,"Blockflöte, Gitarre",Original,"Familie - für Sabine und Kathrin vom Vati am 10.08.1970, im Besitz von Kathrin Vogt"
2,1992,Abschied von Bohlsen,Klaviersatz,Piano,Kopie,"Familie - Abschied von Bohlsen April 1992 für Annegret, Johannes und Mutter Erika, Original in Bohlsen"
3,1977,Brigitte zum 23. Januar 1977,,Piano,Original,Familie 
4,1992,Albumblatt für Jonna,Klaviersatz,Piano,Kopie,"Familie, Original in Bohlsen"
5,,Die sieben flotten Lieselotten…,Klaviersatz,Piano,Original,Familie - für Jonna
6,,Eine kleine Suite für Gitarre für Anna-Marieke…,Suite,Gitarre,Original,Familie 
7,1992,Solo-Suite für Violine für Sabine Kötz,Suite,Violine,Original,Familie
8,2004,"Christus spricht, Johannes 6.35",Psalm,Chor,Kopie,Familie -Vertonung Michels Konfirmationsspruch
8a,2004,"Christus spricht, Johannes 6.35, Ich bin das Brot…",Psalm,gem. Chor,,Familie - Vertonung Michels Konfirmationsspruch - mit Capella formatierter Notentext
9,1988,Weihnacht 1988,Klaviersatz,Piano,Kopie,Familie - für meine Enkelin Johanna Vogt - eine Christwiegen-Musik
9a,1992,Für Franziska,Klaviersatz,Piano,Original,"Familie - Dir liebe Franziska zu Deinem 13. Geburtstag! 
Es ist Dein ""Wiegenlied-Prädludium von Deinem alten Onkel Manuel"
9b,1993,Erwartung (H. Löns),Klaviersatz,Piano,Original,"Familie - Diese Melodie fiel mir so nebenbei ein und möchte sie Dir, 
liebe Franziska mit dem Klaviersatz herzlich widmen. Dein alter Onkel Manuel"
9c,,Der Rosengarten,Klaviersatz,Piano,Original,Diesen Klaviersatz möchte meiner lieben Nichte… (sehr langer Text)
10,2000,Offb. - Selig sind die Toten,Motette,drei gleiche Stimmen,Original,
11,2000,EG 11 - Wie soll ich dich empfangen,,Orgel?,Original,"für Frau Cordula Richter, geschrieben am 20.11.2000"
12,2000,Wie bist Du schön…,Chorsatz,Männer,Original,"Text: Rudolf Löw, Melodie nach Christof Richter"
12a,2000,Wie bist Du schön…,Chorsatz,gem. Chor,Original,
12b,2000,Wie bist Du schön…,Chorsatz,"gem. Chor, dreist.",Original,
12c,2000,Wie bist Du schön…,Chorsatz,gem. Chor,Original,
12d,1992,Blumenzyklus - Gänseblümchen,Klaviersatz,Piano,Kopie,"Familie -Zum 15.04.92 für Johannes als ""Vorgeschmack"" künftiger Tastenfreuden… Vater"
12e,1992,Blumenzyklus - Rosen im Haag,Klaviersatz,Piano,Kopie,"Familie - Für euch alle, Ihr Bohlsener, die ihr gerne Klavier spielt, 26. - 28.04.1992"
