Die Psalmen Emanuel Vogts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Reg. Nr.,Psalm Nr.,Verse,Titel,Besetzung,Datum,Handschrift,veröffentlicht,Bemerkung,
1,1,,Mir stehet deine Huld…,Knabenchor,1972,x,Eigenverlag 1975/1978,,
2,4,,Erbarme dich meiner…,Männer,,x,"Eigenverlag 1975/1978, Strube, Heft II",,
3,4,,Erbarme dich meiner…,Männer,1969,x,Spirit-Carbon-Kopie,,
4,8,,Herr unser Herrscher,Männer,198?,,,,
5,8,,Herr unser Herrscher,Männer,198?,x,,,
6,18,2 - 7,"Herr, mein Fels",gem. Chor,1994,x,,Frau Eva Schreiber und dem Kirchenchor Leutershausen in herzlichem Gedenken gewidmet. 11.07.1994,
7,19,,Die Himmel erzählen…,Intonation,1996,x,,gespielt beim Abendgottesdienst in Immendorf,
8,19,1 - 7,Die Himmel erzählen…,Knabenchor,1964,x,"Eigenverlag 1975/1978, Strube, Heft II",,
9,19,,Die Himmel erzählen…,Knabenchor,1964,,Eigenverlag 1975/1978,,
10,19,1 - 7,Die Himmel erzählen…,Männer,1964,,1. Abschrift der Auflage von 1964,Original im Privatbesitz - Kathrin Vogt,
11,19,,Die Himmel erzählen…,Frauenchor,1964,x,,für Frauenchor bearbeitet am 21.09.1994,
13,23,,Mein Leib und Seele…,Männer,,x,"Eigenverlag 1975/1978, Strube","Psalmenchor des Missionsseminars, ""Windsbacher Psalmen""",
14,23,,Mein Leib und Seele…,Männer,1973,x,,,
15,23,,"Der Herr, der Herr ist mein Hirte",,1968,x,Strube,"""Windsbacher Psalmen""",
16,23,,"Der Herr, der Herr ist mein Hirte","Sopran, Flöte, Orgel",1977,x,liegt in zweifacher handschriftlicher Fassung vor,Frau Wiltrud Weltzer mit herzlichem Dank für freundliche Mitarbeit am 26.11.78 zu eigen,
17,23,,"Seht, Herr, deines Angesichts…","Chor, Gitarre",1997,x,,"für Frau Renate Schmidt, anlässlich ihrer Trauung am 28.05.1997 i. d. Gottesruh-Kapelle",
18,24,,Machet die Tore weit…,gem. Chor,1982,x,,1965 ursprünglich für den Psalmenchor des Missionsseminars,
19,24,1,"Freue dich sehr, du Tochter Zion",Knabenchor,1972,x,Eigenverlag 1975/1978,,
20,24,1 - 6,Die Erde ist des Herrn,Männer,1967,x,,,
21,24,1 - 6,Die Erde ist des Herrn,Männer,1967,x,,,
22,24,,Die Erde ist des Herrn…,Männer,1972,,"Eigenverlag 1975/1978, Strube, Heft II",Motette für Männerchor,
23,24,1 - 6,Die Erde ist des Herrn…,Männer,1972,x,,,
24,24,1 - 6,Die Erde ist des Herrn…,,1967,x,,,
25,24,,Machet die Tore weit…,Männer,1965,x,,Psalmenchor des Missionsseminars,
26,24,,Machet die Tore weit…,gem. Chor,1982,x,,überarbeitet für gem. Chor 1985,
27,24,,"Freut euch, Gott…",,1999,x,,"aus ""Gott ist mein Lied"" - Strube-Verlag",
28,25,"1 - 7, 16, 18, 25",Meine Augen…,Männer,1967,x,Eigenverlag 1975/1978,"Psalmenchor des Missionsseminars, am 27.01.1996 überarbeitet, Original im Privatbesitz - Kathrin Vogt",
29,25,12 - 16,Die Pfade des Herrn…,Männer,1965,x,,"""Windsbacher Psalmen""",
30,25,,Die Pfade des Herrn,Männer,1965,x,,"""Windsbacher Psalmen"" - Original im Privatbesitz - Kathrin Vogt",
31,27,1 - 6,Harre des Herrn…,,1965,x,Strube,"""Windsbacher Psalmen""",
32,27,1 - 6,Harre des Herrn…,gem. Chor,1965,x,,"""Windsbacher Psalmen""",
33,27,1 - 6,Harre des Herrn…,,,,,"""Windsbacher Psalmen""",
34,31,"4, 6",In deine Hände befehle ich…,,1985,x,,,
35,31,,Sei mir ein starker Fels…,,1972,x,"Eigenverlag 1975/1978, Strube Heft 2",,
36,31,,Sei mir ein starker Fels…,,1972,x,,"""Cluster""",Rückseite Psalm 90
37,31,,In deine Hände befehle ich…,,1985,x,,Original im Privatbesitz - Kathrin Vogt,
38,32,,Ich will dich unterweisen,,1971,x,,Psalmenchor des Missionsseminars,
39,33,,Freuet euch des Herrn ihr Gerechten,Knabenchor,1994,x,,Dem Windsbacher Knabenchor und seinem Leiter K. F. Beringer in Dankbarkeit gewidmet,
40,34,,Freuet euch des Herrn…,Knabenchor,,,,"""Windsbacher Psalmen""",
41,34,,Freuet euch des Herrn…,Knabenchor,1994,x,,"Zum Abschied aus Windsbach dieser Psalm, lieber Ulrich Kaiser…",
42,36,6 + 10,"Herr, deine Güte reicht…",gem. Chor,,x,,,
43,42,"2 - 6, 9  - 12",Wie der Hirsch schreiet…,Knabenchor,1995,x,"Eigenverlag 1975/1978, Strube, Heft II","Für Karl Friedrich Behringer - ""Windsbacher Psalmen""",
44,42,"2- 6, 9 - 12",Wie der Hirsch schreiet…,gem. Chor,1985,x,,,
45,42,,Wie der Hirsch schreiet…,gem. Chor,1985,x,,,
46,42,,Wie der Hirsch schreiet…,gem. Chor,1985,x,,"ursprünglich Männerchorsatz, bearbeitet für gemischten Chor",
48,47,,Klatscht in die Hände…,gem. Chor,1972,x,,,
49,57,,"Herr, höre mein Gebet…",Männer,1994,,,,
50,66,,Alles Land bete dich an…,,,x,,,
51,67,,Wie sich ein Vater…,Männer,1983,,,"Introitus, Bittgottesdienst",
52,73,"1 - 4, 6, 7, 19, 28",Dennoch bleibe ich stets an Dir,,1985,x,Ilse Grüner,,
