Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
13,23,,Mein Leib und Seele…,Männer,,x,Eigenverlag 1975/1978,"Psalmenchor des Missionsseminars, ""Windsbacher Psalmen"""
29,25,12 - 16,Die Pfade des Herrn…,Männer,1965.0,x,,"""Windsbacher Psalmen"""
31,27,1 - 6,Harre des Herrn…,,1965.0,x,,"""Windsbacher Psalmen"""
39a,33,,Freuet euch des Herrn ihr Gerechten,Knabenchor,1994.0,,,
40,34,,Freuet euch des Herrn…,Knabenchor,,,,"""Windsbacher Psalmen"""
49,57,,"Herr, höre mein Gebet…",Männer,1994.0,,,
51,67,,Wie sich ein Vater…,Männer,1983.0,,,"Introitus, Bittgottesdienst"
54a,80,,Gott tröste uns wieder,Männer,1986.0,,,
94,123,,Barmherzig und gnädig….,,,,,"""Windsbacher Psalmen"""
96,126,1 - 6,Die Erlösten des Herrn…,Männer,1972.0,x,Eigenverlag 1975/1978,"""Windsbacher Psalmen"""
110,138,,Herr von ganzem Herzen…,Männer,,,Eigenverlag 1975/1978,
,71,,Psalm 71,Gem. Chor,1970.0,x,,Original
