filename,filepath,work_number,sample_range,file_size_mb,page_count,is_encrypted,metadata,page_width,page_height
1 - Psalm 1.pdf,files/Psalmen/Die Noten/1 - Psalm 1.pdf,1,Early Works,7.94,1,False,"{'/CreationDate': ""D:20250624101136+02'00'"", '/ModDate': ""D:20250624101136+02'00'""}",2480.0,3507.0
91b - Inmitten der Nacht.pdf,files/Werke - außer Psalmen/Werke 81 bis 100/91b - Inmitten der Nacht.pdf,91b,Early Works,0.06,1,False,{},1240.0,1753.0
80 - O du fröhliche - Intonation.pdf,files/Werke - außer Psalmen/Werke 61 bis 80/80 - O du fröhliche - Intonation.pdf,80,Early Works,0.04,1,False,{},1240.0,1753.0
83 - Psalm 103 - Seiten 2 und 3.pdf,files/Psalmen/Die Noten/83 - Psalm 103 - Seiten 2 und 3.pdf,83,Early Works,0.1,2,False,{},1240.0,1753.0
40 - Ach mein Herr Jesulein....pdf,files/Werke - außer Psalmen/Werke 21 bis 40/40 - Ach mein Herr Jesulein....pdf,40,Early Works,0.07,1,False,{},1240.0,1753.0
11 - EG 11 - Wie soll ich dich....pdf,files/Werke - außer Psalmen/Werke 1 bis 20/11 - EG 11 - Wie soll ich dich....pdf,11,Early Works,0.06,1,False,{},1240.0,1753.0
76 - Christus ist erstanden - Seite 2.pdf,files/Werke - außer Psalmen/Werke 61 bis 80/76 - Christus ist erstanden - Seite 2.pdf,76,Early Works,0.08,1,False,{},1240.0,1753.0
"87 - Amen, Amen.....pdf","files/Werke - außer Psalmen/Werke 81 bis 100/87 - Amen, Amen.....pdf",87,Early Works,0.08,1,False,{},1240.0,1753.0
48 - Psalm 47 - Seite 1.pdf,files/Psalmen/Die Noten/48 - Psalm 47 - Seite 1.pdf,48,Early Works,0.08,1,False,{},1240.0,1753.0
2 - Abschied von Bohlsen - Seite 1.pdf,files/Werke - außer Psalmen/Werke 1 bis 20/2 - Abschied von Bohlsen - Seite 1.pdf,2,Early Works,0.01,1,False,{},1240.0,1753.0
