Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Angaben zur Werke-Produktion,,Beteiligte,,,,,,,,,,,,,Vertritt,,,,
Werknummer,Titel,Name,IP-Name-Nr.,Rolle,Reihenfolge Verlagsrollen,Urheber/-in-Verlagsbeziehung,AR-Anteil Detailansicht,VR-Anteil Detailansicht,AR-Anteil (kumuliert),VR-Anteil (kumuliert),Gesellschaft AR,Gesellschaft VR,AR streitig,VR streitig,Name,IP-Name-Nr.,Rolle,Schedule Number,Vereinbarungsnummer
858878-001,INTRADE,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
858878-001,INTRADE,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
977656-001,VORSPIEL D-MOLL,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
977656-001,VORSPIEL D-MOLL,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
977660-001,VORSPIEL E-DUR,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
977660-001,VORSPIEL E-DUR,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
977662-001,PRAELUDIUM E-MOLL,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
977662-001,PRAELUDIUM E-MOLL,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
977669-001,LENTO G-DUR,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
977669-001,LENTO G-DUR,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
977683-001,INTERMEZZO A-MOLL,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
977683-001,INTERMEZZO A-MOLL,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
977685-001,VORSPIEL H-MOLL,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
977685-001,VORSPIEL H-MOLL,MERSEBURGER BERLIN VERLAG GMBH,20574120,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
1218027-003,GOTTES GEIST IN DIESER ZEIT,"PETZOLD, JOHANNES",24174508,Komponist/-in,,E2,37.12,25,37.12,25,GEMA,GEMA,-,-,-,-,-,-,-
1218027-003,GOTTES GEIST IN DIESER ZEIT,"VOGT, EMANUEL",266446936,Bearbeiter/-in,,,8.33,0,8.33,0,GEMA,,-,-,-,-,-,-,-
1218027-003,GOTTES GEIST IN DIESER ZEIT,"ANGER, ERHARD",1028749,Textdichter/-in,,E1,24,25,24,25,GEMA,GEMA,-,-,-,-,-,-,-
1218027-003,GOTTES GEIST IN DIESER ZEIT,DEUTSCHER VERLAG FUER MUSIK LEIPZIG GMBH,763776103,Originalverlag,E1,,12,25,30.55,50,GEMA,GEMA,-,-,"ANGER, ERHARD",1028749,Textdichter/-in,-,-
1218027-003,GOTTES GEIST IN DIESER ZEIT,DEUTSCHER VERLAG FUER MUSIK LEIPZIG GMBH,763776103,Originalverlag,E2,,18.55,25,30.55,50,GEMA,GEMA,-,-,"PETZOLD, JOHANNES",24174508,Komponist/-in,-,-
1474492-004,"O HERR, NIMM UNSRE SCHULD GL 168","LOTZ, HANS-GEORG",38856055,Komponist/-in,,E1,37.12,30,37.12,30,GEMA,GEMA,-,-,-,-,-,-,-
1474492-004,"O HERR, NIMM UNSRE SCHULD GL 168","VOGT, EMANUEL",266446936,Bearbeiter/-in,,,8.33,0,8.33,0,GEMA,,-,-,-,-,-,-,-
1474492-004,"O HERR, NIMM UNSRE SCHULD GL 168","LOTZ, HANS-GEORG",38856055,Textdichter/-in,,E2,24,30,24,30,GEMA,GEMA,-,-,-,-,-,-,-
1474492-004,"O HERR, NIMM UNSRE SCHULD GL 168",SINGENDE GEMEINDE,58520478,Originalverlag,E1,,18.55,20,30.55,40,,,-,-,"LOTZ, HANS-GEORG",38856055,Komponist/-in,-,-
1474492-004,"O HERR, NIMM UNSRE SCHULD GL 168",SINGENDE GEMEINDE,58520478,Originalverlag,E2,,12,20,30.55,40,,,-,-,"LOTZ, HANS-GEORG",38856055,Textdichter/-in,-,-
1563478-001,WENN MEIN STUENDLEIN VORHANDEN IST,"VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
1563478-001,WENN MEIN STUENDLEIN VORHANDEN IST,EDITION THOMI-BERG,1150061610,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
1563512-001,"CHRISTE, DU BIST DER HELLE TAG","VOGT, EMANUEL",266446936,Komponist/-in,,E1,66.67,60,66.67,60,GEMA,GEMA,-,-,-,-,-,-,-
1563512-001,"CHRISTE, DU BIST DER HELLE TAG",EDITION THOMI-BERG,1150061610,Originalverlag,E1,,33.33,40,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Komponist/-in,-,-
2071563-002,"HORCH, WIE DIE SCHAR DER ENGEL SINGT",DP,39657154,Komponist/-in,,,25.6,0,25.6,0,DP,DP,-,-,-,-,-,-,-
2071563-002,"HORCH, WIE DIE SCHAR DER ENGEL SINGT","VOGT, EMANUEL",266446936,Bearbeiter/-in,,E2,17.07,60,17.07,60,GEMA,GEMA,-,-,-,-,-,-,-
2071563-002,"HORCH, WIE DIE SCHAR DER ENGEL SINGT",DP,39657154,Textdichter/-in,,E1,24,0,24,0,DP,DP,-,-,-,-,-,-,-
2071563-002,"HORCH, WIE DIE SCHAR DER ENGEL SINGT",SAALECK-VERLAG INH PROF KILIAN MORITZ,1300200940,Originalverlag,E1,,12,20,33.33,40,GEMA,GEMA,-,-,DP,39657154,Textdichter/-in,-,-
2071563-002,"HORCH, WIE DIE SCHAR DER ENGEL SINGT",SAALECK-VERLAG INH PROF KILIAN MORITZ,1300200940,Originalverlag,E2,,21.33,20,33.33,40,GEMA,GEMA,-,-,"VOGT, EMANUEL",266446936,Bearbeiter/-in,-,-
2071564-002,EINE GROSSE FREUD VERKUEND ICH EUCH,DP,39657154,Komponist/-in,,,25.6,0,25.6,0,DP,DP,-,-,-,-,-,-,-
