Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
Werknummer,Titel,Registrierstatus,Freie Vereinbarung,Verbundene Schutzfrist,Erstmals geladen,Letzte Aktualisierung,Sprache,Gattung,Dauer,AR streitig,VR streitig,Weitere Titel,Besetzung,Interpretinnen / Interpreten
858878-001,INTRADE,1,Nein,Nein,13.10.2002,25.05.2024,,,00:01:30,-,-,,"BLAESERENSEMBLE (Anzahl Instrumente 1, Anzahl Spieler/-innen 4, Anzahl Stimmen 4)",
977656-001,VORSPIEL D-MOLL,1,Nein,Nein,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",
977660-001,VORSPIEL E-DUR,1,Nein,Nein,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",
977662-001,PRAELUDIUM E-MOLL,1,Nein,Nein,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",
977669-001,LENTO G-DUR,1,Nein,Nein,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",
977683-001,INTERMEZZO A-MOLL,1,Nein,Nein,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",
977685-001,VORSPIEL H-MOLL,1,Nein,Nein,13.10.2002,25.05.2024,,,00:02:00,-,-,,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",
1218027-003,GOTTES GEIST IN DIESER ZEIT,1,Nein,Nein,10.06.2013,09.12.2024,DEUTSCH,LIED,00:00:45,-,-,,"TASTENINSTRUMENT (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",
1474492-004,"O HERR, NIMM UNSRE SCHULD GL 168",1,Nein,Nein,11.01.2003,23.08.2024,,,00:00:50,-,-,O GUD TAG BORT DEN SKULD | THEMA UND VARIANTEN(8) | KLEINES GEISTLICHES KONZERT,"ORGEL (Anzahl Instrumente 1, Anzahl Spieler/-innen 0, Anzahl Stimmen 0)",
1563478-001,WENN MEIN STUENDLEIN VORHANDEN IST,1,Nein,Nein,14.10.2002,25.05.2024,,CHORALVORSPIEL,,-,-,,,
1563512-001,"CHRISTE, DU BIST DER HELLE TAG",1,Nein,Nein,14.10.2002,25.05.2024,,CHORALVORSPIEL,,-,-,,,
2071563-002,"HORCH, WIE DIE SCHAR DER ENGEL SINGT",1,Nein,Nein,15.10.2002,11.08.2025,,,00:02:00,-,-,,,
